text,emotion
i also feel a little selfish when i get excited about hitting it off with our friends friends because it makes me feel victorious in our choices,excitement
i want be there when she passed away or when she was not feeling good and same with my brother and other grandparents,grief
i spent much of the morning feeling like an impostor or a visitor in someone elses life and uncertain what if anything i should do next,embarrassment
i feel petty for saying shes fucked up because technically she doesnt have to get me a gift,annoyance
i feel you see there is always the possibility that someone might laugh or feel disgusted and it is easier for her too to express her feelings about a story and not about her boyfriend,approval
i never feel brave and nor do i want to be as i believe that in order to be brave you have to make a conscious choice as to whether you want to be brave or not,realization
im feeling a bit apprehensive about it as i dont know if my little note cards will stand out from the mass of talent on etsy,nervousness
i feel like ya allah im scared puff it was fun man then id an idea,amusement
i feel like that leaves me as the artistic equivalent of the crack between couch cushions,neutral
i start feeling anxious again,nervousness
i will probably just be lazy and lounge around the house and possibly go down to the pool depends how im feeling and what i can be bothered to do its my last day off before i go back to work so yeah,joy
i know that tenge will get me to and from almost anywhere so if i am feeling impatient i offer more,approval
i overhear the victory tune on some geeks ringtone i feel triumphant,joy
i dont even know how to express how it made me feel these kids were so appreciative of the fact that we were coming there and it was very heavy to think that maybe our music gave them a little something to grasp on to,disappointment
i ended up changing my clothes and laying in bed with my eyes closed for the next hour and eventually i started to feel better,relief
i did feel like the people there were appreciative of what they had and many had happiness in that pinnacle way that is non materialistic,admiration
i had been feeling was all my fault that i had wronged her and caused her to abandon me,embarrassment
i remember feeling as innocent as she looked that day,realization
i find im barely breathing and feel a little frantic,fear
i can feel their afraid,fear
im happy to report that i didnt feel that angered urge to smack olivia today the way ive felt it before,joy
i have done music and movie production in the last four years and i feel its time i do fashion which im very passionate about,desire
i feel like a distracted robot,neutral
i feel it is worthwhile to document it for people who are not familiar with batch files,approval
i feel more grounded and less fearful,approval
i am not even sure how to formulate my thoughts since i just put it down and am feeling slightly overwhelmed,confusion
i now feel so determined to smash round and really give her something to be proud of,neutral
i feel like i am really grouchy and some days i get in moods where i feel like it is me against the world,annoyance
im hesitant to make suggestions because i feel as if the outcome would not be sincere,disapproval
im really feeling good,joy
i had it in my head as it relates to the workplace because i had just been irritable to someone a tiny bit lower in status than myself in response to someone who is higher than me making me feel momentarily pressured,annoyance
i began to feel very afraid of disappointment during the tour just because the rain and fog continued,fear
i had felt kind of ick but just figured it was nerves or feeling anxious,nervousness
i was feeling all resentful that id been given such a boring assignment and,anger
im feeling bitchy on saturday,anger
i may attempt a hair coloring session later if i m feeling brave crazy saturday nights over here,amusement
i have been working hard to shake these feelings because being popular or a genre novel or non literary fiction does not make a book any less legitimate or any less something to read and enjoy and analyze,joy
i have to say however is that is is awfully difficult to feel glamorous and sensational in all this heat ash stench greasy hair and your basic post yeast infection mode,disapproval
i drive home i feel like a petty thief having just stolen the exposures crudely stuck in my camera from the ancients,sadness
im not as mad and upset as i was on day but i feel scared now,fear
i went back to work feeling agitated and lazy which transformed into this state where i just yelled i dont know,nervousness
i wish i could say fuck you to people who make me feel insecure for ever to have existed,anger
i thought i hope our vanquished england failures are watching this and feeling very envious and determined to do everything to improve and maybe one day do something similar before i die,optimism
i might go get a car wash if i am feeling really generous my car needs it,desire
i was feeling apprehensive about my life as a student i felt like i couldnt succeed wouldnt succeed could never succeed,fear
i feel that i no longer have to do things to look cool,realization
i should somehow feel hesitant about that,nervousness
i just feel really irritable and everything drives me insane,annoyance
i am not feeling well or grouchy or lazy ill sometimes forego my bed in favor of our futon couch for a little shut eye,neutral
i feel less bitchy in the morning,relief
i feel like i got resentful and tired and i just wanted to talk to him so badly,anger
when my relatives and i were in a car going slowly on a frozen road,neutral
i forgive myself for accepting and allowing myself to feel uncertain about my application within this i reveal that i feel uncertain within myself,approval
i aware and concerned for everyone will give attention not only marriages and deaths but also with equal seriousness to the elderly woman who feels helpless because she does not know which oven to buy,approval
when in a car accident where car was total wipe off wipe out,neutral
i feel that each point is equally important than each,neutral
i feel that i am getting more and more timid these days,embarrassment
im feeling agitated again the usual evening mood that is becoming the norm,nervousness
i could feel its warmth in the strange stillness and it comforted me,joy
i do at times feel a bit strange with my mom ushering her about as though shes her traumatic brain injury is really doing a toll on her mental and physical capacities,realization
i have that spring fling feeling again and like a flower unfurling my artistic soul is ready for some sunshine,realization
i feel it s acceptable for me to put forth little effort in today s post,approval
i feel like ive been sooo distracted and i need to regain my focus again,realization
i hurt and feel suspicious and definitely get angry,anger
i must confess im feeling a little overwhelmed,realization
i just feel left out hated extra,anger
i feel that im fine without him,approval
i feel like a paranoid annoyance when in reality she wouldve talked to anyone that way,annoyance
i also feel it can be rude to see your family doctor out and about and approach them together with your ailments,disgust
i feel rediculous and petty and yet justified,disapproval
i flung into my suitcase at the last minute didn t break on the crossing over or explode in the pressurized cabin so thus far i m feeling pretty splendid about things,admiration
i feel furious at myself for being so pathetic furious at her for various reasons,anger
im feeling kinda shaky my mind is full of doubt good luck love you,love
i sometimes feel very vulnerable,nervousness
i would feel lucky to call any of the materials and kits on your site mine they are just beautifully curated,admiration
i am not okay with feeling annoyed at myself and at life all the time,disapproval
i empathize with the feeling of being dissatisfied not where i want to be but no i dont feel that way,sadness
i am feeling hostile enough that i even hate jim right now,anger
im feeling pissed and sad right now,anger
i wasnt sure if i could be concerned when there were people around me feeling incredibly apprehensive some turning back while i may as well have been dancing up the cliff face,nervousness
i love running because i feel strong and powerful and totally in control,joy
i alternated between wishing i would die and then feeling terrified that something would happen to me leaving my newborn son without a mother,fear
i have been feeling conflicted on whether or not i as a follower of christ should celebrate the ever popular pagan originated modern day holidays,confusion
i do not like feeling unsure and uncertain,disapproval
i lose interest in reading stories when i feel like the tension has been resolved which did happen a few times and yet i kept wanting to read more,realization
i stare and feel utterly helpless,sadness
i feel selfish thinking this way but i feel so lonely at times,sadness
i feel happy now that i am enjoying the changes in my life and looking forward to the unknown good times that are yet to come autumn and winter are suddenly just new steps on the journey,joy
i havent been measuring out food drinking nearly enough water tracking any fitness and overall i feel completely shaken and unfocused because i dont feel like my foundation is steady at the moment,neutral
i admit that in the past ive done a lot of time scoffing and feeling superior to christians,approval
i feel this strategy is worthwhile,approval
i feel i had benefited more from last year s creative futures but could this be in part that the information i had learnt last year i was already putting into practice and therefore this year s sessions were what i was already doing rather than inspiring me to start,approval
i feel as if this opportunity to return to moz is gods gracious gracious way of giving me that heat desire despite my own self doubt and uncertainty in the past,gratitude
i am feeling the need to consolidate to step back and re evaluate the purpose of this blog other than providing a fabulous vicarious life for yall to live through my sarcasm does not always come across in print,admiration
